,precio
0,6.439.900
1,5.734.900
2,5.549.900
3,7.669.000
4,6.349.000
5,5.890.000
6,7.400.000
7,6.499.900
8,5.558.900
9,5.899.900
10,6.348.900
11,5.958.000
12,6.945.900
13,6.039.900
14,7.014.900
15,6.355.900
16,7.014.900
17,5.509.000
18,7.635.900
19,8.210.900
20,7.014.900
21,6.324.900
22,7.635.900
23,6.600.000
24,6.400.000
25,6.324.900
26,5.590.000
27,9.135.000
28,7.500.000
29,5.359.000
30,5.679.000
31,4.589.000
32,4.789.000
33,4.589.000
34,5.679.000
35,5.359.000
36,5.359.000
37,5.679.000
38,5.359.000
39,4.589.000
40,4.789.000
41,5.679.000
42,4.589.000
43,4.789.000
44,4.789.000
45,7.999.000
46,3.539.999
47,4.170.000
48,3.539.999
49,3.852.000
