,precio
0,5.880.900
1,4.269.900
2,5.460.900
3,5.399.000
4,10.325.000
5,5.879.900
6,4.329.900
7,4.379.000
8,5.001.900
9,6.348.900
10,5.001.900
11,7.014.900
12,5.749.900
13,4.000.000
14,5.509.000
15,6.249.000
16,5.958.000
17,4.159.000
18,6.355.900
19,7.014.900
20,4.159.000
21,7.014.900
22,5.395.000
23,5.001.900
24,6.324.900
25,4.269.900
26,6.324.900
27,5.001.900
28,5.479.900
29,5.799.000
30,15.999.000
31,6.599.000
32,17.499.000
33,11.199.000
34,12.799.000
35,10.899.000
36,5.859.000
37,10.899.000
38,5.100.000
39,4.589.000
40,5.489.000
41,5.359.000
42,5.359.000
43,5.359.000
44,4.589.000
45,5.359.000
46,5.489.000
47,4.589.000
48,5.489.000
49,5.179.000
