,titulo,precio,link,marca
0,Microsoft Xbox Series S 512GB Standard color blanco,1569900,https://www.mercadolibre.com.co/microsoft-xbox-series-s-512gb-standard-color-blanco/p/MCO16650345?pdp_filters=category:MCO2931#searchVariation=MCO16650345&position=1&search_layout=stack&type=product&tracking_id=97b7ac21-ca8a-4203-948c-691b47b9c9a5,Mercado Libre
1,Microsoft Xbox Series X 1TB Standard color negro,3104900,https://www.mercadolibre.com.co/microsoft-xbox-series-x-1tb-standard-color-negro/p/MCO16160759?pdp_filters=category:MCO2931#searchVariation=MCO16160759&position=2&search_layout=stack&type=product&tracking_id=97b7ac21-ca8a-4203-948c-691b47b9c9a5,Mercado Libre
2,Consola X-Game XB-68 color negro,60971,https://www.mercadolibre.com.co/consola-x-game-xb-68-color-negro/p/MCO17800723?pdp_filters=category:MCO2931#searchVariation=MCO17800723&position=3&search_layout=stack&type=product&tracking_id=97b7ac21-ca8a-4203-948c-691b47b9c9a5,Mercado Libre
3,Soporte Base Repisa Xbox One Fat Luz Led 2 Sop Controles.,165700,https://articulo.mercadolibre.com.co/MCO-559293095-soporte-base-repisa-xbox-one-fat-luz-led-2-sop-controles-_JM#position=6&search_layout=stack&type=item&tracking_id=97b7ac21-ca8a-4203-948c-691b47b9c9a5,Mercado Libre
4,Microsoft Xbox One S 1TB Standard color blanco,4922990,https://www.mercadolibre.com.co/microsoft-xbox-one-s-1tb-standard-color-blanco/p/MCO14114827?pdp_filters=category:MCO2931#searchVariation=MCO14114827&position=4&search_layout=stack&type=product&tracking_id=97b7ac21-ca8a-4203-948c-691b47b9c9a5,Mercado Libre
5,Consola Xbox One S De 1tb + Battlefield V + Battlefield 1,2499900,https://articulo.mercadolibre.com.co/MCO-446859275-consola-xbox-one-s-de-1tb-battlefield-v-battlefield-1-_JM#position=7&search_layout=stack&type=item&tracking_id=97b7ac21-ca8a-4203-948c-691b47b9c9a5,Mercado Libre
6,Adaptador Ac De Fuente De Alimentación Interna Para Xbox One,136703,https://articulo.mercadolibre.com.co/MCO-1271033537-adaptador-ac-de-fuente-de-alimentacion-interna-para-xbox-one-_JM#position=8&search_layout=stack&type=item&tracking_id=97b7ac21-ca8a-4203-948c-691b47b9c9a5,Mercado Libre
7,Cable De Carga Para Control Ps4 Y Xbox One,15900,https://articulo.mercadolibre.com.co/MCO-561569188-cable-de-carga-para-control-ps4-y-xbox-one-_JM#position=9&search_layout=stack&type=item&tracking_id=97b7ac21-ca8a-4203-948c-691b47b9c9a5,Mercado Libre
8,Xbox One X 1tb Cyberpunk 2077 Special Edition + 1 Control,3800000,https://articulo.mercadolibre.com.co/MCO-844865702-xbox-one-x-1tb-cyberpunk-2077-special-edition-1-control-_JM#position=10&search_layout=stack&type=item&tracking_id=97b7ac21-ca8a-4203-948c-691b47b9c9a5,Mercado Libre
9,Xbos One S,1800000,https://articulo.mercadolibre.com.co/MCO-964997664-xbos-one-s-_JM#position=11&search_layout=stack&type=item&tracking_id=97b7ac21-ca8a-4203-948c-691b47b9c9a5,Mercado Libre
10,Consola Microsoft Xbox One Day One Edition (restaurado),1899000,https://articulo.mercadolibre.com.co/MCO-1164949520-consola-microsoft-xbox-one-day-one-edition-restaurado-_JM#position=12&search_layout=stack&type=item&tracking_id=97b7ac21-ca8a-4203-948c-691b47b9c9a5,Mercado Libre
11,Unidad Óptica Integrada Dg6m5s01b Para Xbox One S,190588,https://articulo.mercadolibre.com.co/MCO-1164992109-unidad-optica-integrada-dg6m5s01b-para-xbox-one-s-_JM#position=13&search_layout=stack&type=item&tracking_id=97b7ac21-ca8a-4203-948c-691b47b9c9a5,Mercado Libre
12,Microsoft Xbox One S 500 Gb + Game Pass .,1600000,https://articulo.mercadolibre.com.co/MCO-953226653-microsoft-xbox-one-s-500-gb-game-pass--_JM#position=14&search_layout=stack&type=item&tracking_id=97b7ac21-ca8a-4203-948c-691b47b9c9a5,Mercado Libre
13,Microsoft Xbox One 500gb Standard Color Negro 2 Controles,1311000,https://articulo.mercadolibre.com.co/MCO-1499347864-microsoft-xbox-one-500gb-standard-color-negro-2-controles-_JM#position=15&search_layout=stack&type=item&tracking_id=97b7ac21-ca8a-4203-948c-691b47b9c9a5,Mercado Libre
14,Xbox One S 500gb Azul Oceanico .edicion Especial..,2500000,https://articulo.mercadolibre.com.co/MCO-959913759-xbox-one-s-500gb-azul-oceanico-edicion-especial-_JM#position=16&search_layout=stack&type=item&tracking_id=97b7ac21-ca8a-4203-948c-691b47b9c9a5,Mercado Libre
15,"Microsoft Xbox One S 1tb Precio Negociable, Preguntar Antes",2499900,https://articulo.mercadolibre.com.co/MCO-1443522698-microsoft-xbox-one-s-1tb-precio-negociable-preguntar-antes-_JM#position=17&search_layout=stack&type=item&tracking_id=97b7ac21-ca8a-4203-948c-691b47b9c9a5,Mercado Libre
16,Microsoft Xbox One + Kinect 500gb Standard Color Negro,900000,https://articulo.mercadolibre.com.co/MCO-1508886060-microsoft-xbox-one-kinect-500gb-standard-color-negro-_JM#position=18&search_layout=stack&type=item&tracking_id=97b7ac21-ca8a-4203-948c-691b47b9c9a5,Mercado Libre
17,Xbox One S,1450000,https://articulo.mercadolibre.com.co/MCO-946538918-xbox-one-s-_JM#position=19&search_layout=stack&type=item&tracking_id=97b7ac21-ca8a-4203-948c-691b47b9c9a5,Mercado Libre
18,Microsoft Xbox One 500gb Standard Color Negro + Obsequio,1121000,https://articulo.mercadolibre.com.co/MCO-1499334634-microsoft-xbox-one-500gb-standard-color-negro-obsequio-_JM#position=20&search_layout=stack&type=item&tracking_id=97b7ac21-ca8a-4203-948c-691b47b9c9a5,Mercado Libre
19,X Box One S 500 Gb (refurbished),1250000,https://articulo.mercadolibre.com.co/MCO-1176232558-x-box-one-s-500-gb-refurbished-_JM#position=21&search_layout=stack&type=item&tracking_id=97b7ac21-ca8a-4203-948c-691b47b9c9a5,Mercado Libre
20,Xbox One Fat,1180000,https://articulo.mercadolibre.com.co/MCO-858237192-xbox-one-fat-_JM#position=22&search_layout=stack&type=item&tracking_id=97b7ac21-ca8a-4203-948c-691b47b9c9a5,Mercado Libre
21,Microsoft Xbox One S 500gb Precio Negociable Preguntar,2600000,https://articulo.mercadolibre.com.co/MCO-1269281735-microsoft-xbox-one-s-500gb-precio-negociable-preguntar-_JM#position=23&search_layout=stack&type=item&tracking_id=97b7ac21-ca8a-4203-948c-691b47b9c9a5,Mercado Libre
22,Xbox One S,780000,https://articulo.mercadolibre.com.co/MCO-1297222359-xbox-one-s-_JM#position=24&search_layout=stack&type=item&tracking_id=97b7ac21-ca8a-4203-948c-691b47b9c9a5,Mercado Libre
23,Xbox One Forza Horizon 4 Estándar,262195,https://articulo.mercadolibre.com.co/MCO-1564150244-xbox-one-forza-horizon-4-estandar-_JM#position=25&search_layout=stack&type=item&tracking_id=97b7ac21-ca8a-4203-948c-691b47b9c9a5,Mercado Libre
24,Consola Xbox One S 1 Tb + 2 Controles,1105000,https://articulo.mercadolibre.com.co/MCO-1297177789-consola-xbox-one-s-1-tb-2-controles-_JM#position=26&search_layout=stack&type=item&tracking_id=97b7ac21-ca8a-4203-948c-691b47b9c9a5,Mercado Libre
25,Xbox One S 1tb Paquete 2 Elementos Xbox One S 1tb Consola Y,1645936,https://articulo.mercadolibre.com.co/MCO-1297198377-xbox-one-s-1tb-paquete-2-elementos-xbox-one-s-1tb-consola-y-_JM#position=27&search_layout=stack&type=item&tracking_id=97b7ac21-ca8a-4203-948c-691b47b9c9a5,Mercado Libre
26,Xbos One S,1170000,https://articulo.mercadolibre.com.co/MCO-1297235149-xbos-one-s-_JM#position=28&search_layout=stack&type=item&tracking_id=97b7ac21-ca8a-4203-948c-691b47b9c9a5,Mercado Libre
27,Microsoft Xbox One S 2tb Edición Gears 4 Consola De Juegos,5329350,https://articulo.mercadolibre.com.co/MCO-1297176279-microsoft-xbox-one-s-2tb-edicion-gears-4-consola-de-juegos-_JM#position=29&search_layout=stack&type=item&tracking_id=97b7ac21-ca8a-4203-948c-691b47b9c9a5,Mercado Libre
28,Microsoft Xbox One X Project Scorpio 1tb Consola De Juegos,3541850,https://articulo.mercadolibre.com.co/MCO-1297188057-microsoft-xbox-one-x-project-scorpio-1tb-consola-de-juegos-_JM#position=30&search_layout=stack&type=item&tracking_id=97b7ac21-ca8a-4203-948c-691b47b9c9a5,Mercado Libre
29,Calcomania Gizmoz N Gadgetz Gng Xbox One S Sticker De Piel D,1105000,https://articulo.mercadolibre.com.co/MCO-1297209641-calcomania-gizmoz-n-gadgetz-gng-xbox-one-s-sticker-de-piel-d-_JM#position=31&search_layout=stack&type=item&tracking_id=97b7ac21-ca8a-4203-948c-691b47b9c9a5,Mercado Libre
30,Xbox One S 1tb + 2 Controles Inalámbricos Envío Gratis,2138500,https://articulo.mercadolibre.com.co/MCO-1603751356-xbox-one-s-1tb-2-controles-inalambricos-envio-gratis-_JM#position=32&search_layout=stack&type=item&tracking_id=97b7ac21-ca8a-4203-948c-691b47b9c9a5,Mercado Libre
31,Consola Xbox One S De 1 Tb [generacion Anterior],1555385,https://articulo.mercadolibre.com.co/MCO-1297176521-consola-xbox-one-s-de-1-tb-generacion-anterior-_JM#position=33&search_layout=stack&type=item&tracking_id=97b7ac21-ca8a-4203-948c-691b47b9c9a5,Mercado Libre
32,Microsoft Xbox One S 1TB Fortnite color blanco,6133990,https://www.mercadolibre.com.co/microsoft-xbox-one-s-1tb-fortnite-color-blanco/p/MCO15584869?pdp_filters=category:MCO2931#searchVariation=MCO15584869&position=5&search_layout=stack&type=product&tracking_id=97b7ac21-ca8a-4203-948c-691b47b9c9a5,Mercado Libre
33,Consola De Juegos Microsoft Xbox One X 1tb,3026107,https://articulo.mercadolibre.com.co/MCO-1297234641-consola-de-juegos-microsoft-xbox-one-x-1tb-_JM#position=34&search_layout=stack&type=item&tracking_id=97b7ac21-ca8a-4203-948c-691b47b9c9a5,Mercado Libre
34,Consola Xbox One S 1tb Edicion Totalmente Digital (juegos Si,1864785,https://articulo.mercadolibre.com.co/MCO-1297187685-consola-xbox-one-s-1tb-edicion-totalmente-digital-juegos-si-_JM#position=35&search_layout=stack&type=item&tracking_id=97b7ac21-ca8a-4203-948c-691b47b9c9a5,Mercado Libre
35,Microsoft Xbox One X 1tb Gears 5 Limited Edition,2960750,https://articulo.mercadolibre.com.co/MCO-1603419246-microsoft-xbox-one-x-1tb-gears-5-limited-edition-_JM#position=36&search_layout=stack&type=item&tracking_id=97b7ac21-ca8a-4203-948c-691b47b9c9a5,Mercado Libre
36,Consola Xbox One S De 1tb Gears Of War 4 Bundle Descontinuad,3275343,https://articulo.mercadolibre.com.co/MCO-1297177349-consola-xbox-one-s-de-1tb-gears-of-war-4-bundle-descontinuad-_JM#position=37&search_layout=stack&type=item&tracking_id=97b7ac21-ca8a-4203-948c-691b47b9c9a5,Mercado Libre
37,Consola Xbox One X De 1tb Con Cyberpunk Microsoft,4781107,https://articulo.mercadolibre.com.co/MCO-1297177573-consola-xbox-one-x-de-1tb-con-cyberpunk-microsoft-_JM#position=38&search_layout=stack&type=item&tracking_id=97b7ac21-ca8a-4203-948c-691b47b9c9a5,Mercado Libre
38,Consola Xbox One S 1tb - Se Elimino El Paquete De Edicion Es,3280543,https://articulo.mercadolibre.com.co/MCO-1297187381-consola-xbox-one-s-1tb-se-elimino-el-paquete-de-edicion-es-_JM#position=39&search_layout=stack&type=item&tracking_id=97b7ac21-ca8a-4203-948c-691b47b9c9a5,Mercado Libre
39,Consola Xbox One X 1tb Star Wars Jedi Fallen Order Bundle,2594085,https://articulo.mercadolibre.com.co/MCO-1297187763-consola-xbox-one-x-1tb-star-wars-jedi-fallen-order-bundle-_JM#position=40&search_layout=stack&type=item&tracking_id=97b7ac21-ca8a-4203-948c-691b47b9c9a5,Mercado Libre
40,Consola Xbox One S 1tb Fortnite Battle Royale Edic. Especial,2340000,https://articulo.mercadolibre.com.co/MCO-1297187945-consola-xbox-one-s-1tb-fortnite-battle-royale-edic-especial-_JM#position=41&search_layout=stack&type=item&tracking_id=97b7ac21-ca8a-4203-948c-691b47b9c9a5,Mercado Libre
41,Xbox One S 1tb Consola Battlefield V Paquete,1762085,https://articulo.mercadolibre.com.co/MCO-1297199837-xbox-one-s-1tb-consola-battlefield-v-paquete-_JM#position=42&search_layout=stack&type=item&tracking_id=97b7ac21-ca8a-4203-948c-691b47b9c9a5,Mercado Libre
42,Consola Xbox One X De 1tb,4043585,https://articulo.mercadolibre.com.co/MCO-1297234849-consola-xbox-one-x-de-1tb-_JM#position=43&search_layout=stack&type=item&tracking_id=97b7ac21-ca8a-4203-948c-691b47b9c9a5,Mercado Libre
43,Xbox One X 1tb Console Fallout 76 Paquete,4069773,https://articulo.mercadolibre.com.co/MCO-1297177437-xbox-one-x-1tb-console-fallout-76-paquete-_JM#position=44&search_layout=stack&type=item&tracking_id=97b7ac21-ca8a-4203-948c-691b47b9c9a5,Mercado Libre
44,Xbox One Consola De 500 Gb Asesina Credo Unidad Paquete,3797293,https://articulo.mercadolibre.com.co/MCO-1297198615-xbox-one-consola-de-500-gb-asesina-credo-unidad-paquete-_JM#position=45&search_layout=stack&type=item&tracking_id=97b7ac21-ca8a-4203-948c-691b47b9c9a5,Mercado Libre
45,Compatible Con Xbox - Consola Xbox One S De 500gb Forza Ho.,2219093,https://articulo.mercadolibre.com.co/MCO-1297199273-compatible-con-xbox-consola-xbox-one-s-de-500gb-forza-ho-_JM#position=46&search_layout=stack&type=item&tracking_id=97b7ac21-ca8a-4203-948c-691b47b9c9a5,Mercado Libre
46,Microsoft Xbox One S 1tb Consola De Juegos,2319850,https://articulo.mercadolibre.com.co/MCO-1297209507-microsoft-xbox-one-s-1tb-consola-de-juegos-_JM#position=47&search_layout=stack&type=item&tracking_id=97b7ac21-ca8a-4203-948c-691b47b9c9a5,Mercado Libre
47,Xbox One 1tb Console 3 Juegos Holiday Bundle Gears Of War Ul,3886343,https://articulo.mercadolibre.com.co/MCO-1297210027-xbox-one-1tb-console-3-juegos-holiday-bundle-gears-of-war-ul-_JM#position=48&search_layout=stack&type=item&tracking_id=97b7ac21-ca8a-4203-948c-691b47b9c9a5,Mercado Libre
48,Consola Xbox One S De 1tb Halo Wars 2 Paquete Descontinuado,3792093,https://articulo.mercadolibre.com.co/MCO-1297176769-consola-xbox-one-s-de-1tb-halo-wars-2-paquete-descontinuado-_JM#position=49&search_layout=stack&type=item&tracking_id=97b7ac21-ca8a-4203-948c-691b47b9c9a5,Mercado Libre
49,Xbox One S Edición Totalmente Digital,3278535,https://articulo.mercadolibre.com.co/MCO-1297176837-xbox-one-s-edicion-totalmente-digital-_JM#position=50&search_layout=stack&type=item&tracking_id=97b7ac21-ca8a-4203-948c-691b47b9c9a5,Mercado Libre
50,Audífonos de Diadema XBOX Inalámbricos On Ear Series Series X|S|Xbox One Negro,469900,https://www.ktronix.com/audifonos-diadema-xbox-inalambricos-on-ear-series-series-x-s-xbox-one-negro/p/889842615319,Ktronix
51,Control TURTLE BEACH Alámbrico Recon Xbox One|Series S |X Blanco|Negro,258900,https://www.ktronix.com/control-turtle-beach-alambrico-recon-xbox-one-series-s-x-blanco-negro/p/731855007059,Ktronix
52,Audífonos de Diadema XBOX Alámbricos Over Ear Xbox One|Series X|S Estéreo Negro,299900,https://www.ktronix.com/audifonos-diadema-xbox-alambricos-over-ear-xbox-one-series-x-s-estereo-negro/p/889842748031,Ktronix
53,Control TURTLE BEACH Alámbrico Recon Xbox One|Series S |X Negro|Gris,258900,https://www.ktronix.com/control-turtle-beach-alambrico-recon-xbox-one-series-s-x-negro-gris/p/731855007004,Ktronix
